#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord      ---- domain strat stats ----- 
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc   q-value local FDR  FDR|lFDR description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- --------- --------- --------- ---------------------
DNA_pol_E_B          PF04042.16   211 PF3D7_1234300        -            624   7.5e-32   96.5   1.8   1   1   1.2e-31   1.2e-31   95.8   1.8     3   210   365   582   364   583 0.90   2.2e-28         1         1 DNA polymerase alpha/epsilon subunit B
DUF89                PF01937.19   353 PF3D7_0209400        -            450   1.4e-58  184.6  14.3   1   1   1.2e-57   1.2e-57  181.5  14.3     8   352    48   427    39   428 0.80   6.5e-54         1         1 Protein of unknown function DUF89
Tfb4                 PF03850.14   276 PF3D7_1353500        -            326   1.8e-37  115.4  15.5   1   1   4.9e-36   4.9e-36  110.7  15.5     4   275    28   304    25   305 0.79   2.7e-32         1         1 Transcription factor Tfb4
HMA                  PF00403.26    62 PF3D7_1353500        -            326     1e-05   12.2   0.0   1   1   2.3e-05   2.3e-05   11.1   0.0     5    33   297   325   294   326 0.90      0.13         1         1 Heavy-metal-associated domain
ANAPC4_WD40          PF12894.7     92 PF3D7_1448000        -           1275   1.6e-16   46.7   6.2   1   3     3e-06     3e-06   13.8   0.0    49    81    78   110    67   114 0.86    0.0013    0.0044   0.00015 Anaphase-promoting complex subunit 4 WD40 domain
WD40                 PF00400.32    38 PF3D7_1448000        -           1275   5.5e-32   95.8  25.0   1   5   2.4e-11   2.4e-11   30.5   0.3     2    38   100   137    99   137 0.94     1e-08   2.3e-08   2.7e-10 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_1448000        -           1275   5.5e-32   95.8  25.0   2   5   4.3e-05   4.3e-05   10.7   0.0     5    37   145   188   142   189 0.77    0.0016     0.012   0.00038 WD domain, G-beta repeat
ANAPC4_WD40          PF12894.7     92 PF3D7_1448000        -           1275   1.6e-16   46.7   6.2   3   3   1.8e-05   1.8e-05   11.3   0.0    38    88   850   899   837   902 0.86    0.0045     0.011   0.00035 Anaphase-promoting complex subunit 4 WD40 domain
WD40                 PF00400.32    38 PF3D7_1448000        -           1275   5.5e-32   95.8  25.0   3   5   8.7e-09   8.7e-09   22.4   0.0     6    38   887   920   882   920 0.88   9.7e-07   2.4e-06   4.4e-08 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_1448000        -           1275   5.5e-32   95.8  25.0   4   5   6.4e-05   6.4e-05   10.2   0.0    10    38   931   962   925   962 0.71    0.0024     0.023   0.00071 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_1448000        -           1275   5.5e-32   95.8  25.0   5   5   1.3e-05   1.3e-05   12.4   0.7     2    38   967  1004   966  1004 0.88   0.00055    0.0041   0.00014 WD domain, G-beta repeat
RNA_pol_Rpb2_5       PF04567.17    58 PF3D7_1448000        -           1275   1.7e-06   14.8   5.3   1   1   1.2e-05   1.2e-05   12.1   0.1     7    39  1060  1092  1058  1125 0.82     0.022         1         1 RNA polymerase Rpb2, domain 5
Utp12                PF04003.12   107 PF3D7_1448000        -           1275   7.8e-08   18.9   0.1   1   1   2.3e-07   2.3e-07   17.4   0.1     3   105  1118  1237  1116  1239 0.74   0.00042         1         1 Dip2/Utp12 Family
DUF4400              PF14348.6    204 PF3D7_0321200        -            397   2.4e-05   10.0   1.6   1   1   6.2e-05   6.2e-05    8.7   1.6    96   132    31    67    18    68 0.88      0.34         1         1 Domain of unknown function (DUF4400)
Glycos_transf_4      PF00953.21   160 PF3D7_0321200        -            397     1e-36  112.5  16.2   1   1     1e-36     1e-36  112.5  16.2     5   159   131   306   128   307 0.87   5.4e-33         1         1 Glycosyl transferase family 4
Cortex-I_coil        PF09304.10   107 PF3D7_0912200        -            453   5.7e-05    9.6   0.3   1   1   9.7e-05   9.7e-05    8.9   0.3    24    94    51   124    39   131 0.79      0.26         1         1 Cortexillin I, coiled coil
Cortexin             PF11057.8     76 PF3D7_0912200        -            453   7.5e-06   12.1   0.1   1   1   7.5e-06   7.5e-06   12.1   0.1    11    52   159   201   154   204 0.85     0.041         1         1 Cortexin of kidney
RRM_1                PF00076.22    70 PF3D7_1022000        -           1426   3.3e-24   70.8   0.2   1   2   2.9e-12   2.9e-12   32.6   0.1     1    67   413   477   413   479 0.93   2.2e-10   6.3e-09   5.8e-11 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
RRM_1                PF00076.22    70 PF3D7_1022000        -           1426   3.3e-24   70.8   0.2   2   2   4.7e-13   4.7e-13   35.1   0.0     1    69   517   590   517   591 0.91   3.7e-11   7.1e-10   5.5e-12 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Arv1                 PF04161.13   210 PF3D7_1011300        -            644   2.3e-31   95.7   9.1   1   1   2.3e-31   2.3e-31   95.7   9.1     1    99     2    98     2   173 0.84   1.3e-27         1         1 Arv1-like family
Herpes_VP19C         PF03327.14   265 PF3D7_1011300        -            644   1.1e-06   14.4   0.4   1   1     2e-06     2e-06   13.5   0.4   147   208   117   178    93   239 0.88     0.011         1         1 Herpesvirus capsid shell protein VP19C
Nop25                PF09805.9    137 PF3D7_0502700        -            395   1.3e-05   11.9   1.7   1   1   2.6e-05   2.6e-05   10.9   1.7    42   104    88   150    74   165 0.81      0.14         1         1 Nucleolar protein 12 (25kDa)
Asp                  PF00026.23   315 PF3D7_1033800        -            450   4.8e-50  156.8   5.6   1   1   8.3e-50   8.3e-50  156.0   5.6     1   312    91   440    91   443 0.78     5e-47   3.7e-12   3.5e-14 Eukaryotic aspartyl protease
DUF4996              PF16387.5    102 PF3D7_0512800        -           1644   6.1e-06   13.0   0.1   1   1   9.6e-05   9.6e-05    9.2   0.1     1    51   603   654   603   662 0.86      0.52         1         1 Domain of unknown function
GRIP                 PF01465.20    44 PF3D7_0512800        -           1644   3.5e-05   10.0   5.1   1   1   6.5e-05   6.5e-05    9.1   0.2     5    35  1610  1635  1608  1644 0.75      0.18         1         1 GRIP domain
WD40                 PF00400.32    38 PF3D7_0905900        -           1010   1.6e-35  107.1  15.0   1   5   1.7e-06   1.7e-06   15.1   0.0    12    38    59    85    47    85 0.88   9.4e-05   0.00082   2.5e-05 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_0905900        -           1010   1.6e-35  107.1  15.0   2   5   1.3e-05   1.3e-05   12.4   0.0     2    38    90   127    89   127 0.87   0.00055    0.0041   0.00014 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_0905900        -           1010   1.6e-35  107.1  15.0   3   5   5.6e-06   5.6e-06   13.5   0.0     4    37   135   170   132   170 0.78   0.00027    0.0021   7.2e-05 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_0905900        -           1010   1.6e-35  107.1  15.0   4   5   3.1e-12   3.1e-12   33.4   0.9     5    38   184   220   180   220 0.82   2.8e-09   7.8e-09   8.5e-11 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_0905900        -           1010   1.6e-35  107.1  15.0   5   5   4.8e-11   4.8e-11   29.6   0.3     2    38   225   262   224   262 0.96   1.4e-08   7.3e-08   6.9e-10 WD domain, G-beta repeat
Coatomer_WDAD        PF04053.14   445 PF3D7_0905900        -           1010  1.2e-138  449.0  17.3   1   1  1.2e-138  1.2e-138  449.0  17.3     1   445   323   806   323   806 0.97  6.5e-135   2.4e-63   1.9e-66 Coatomer WD associated region
RNA_pol_Rpc4         PF05132.14   149 PF3D7_0905900        -           1010   3.3e-05   10.5   2.7   1   1   5.3e-05   5.3e-05    9.9   2.7    21    76   919   974   806   984 0.61     0.096       0.2    0.0066 RNA polymerase III RPC4
Vac14_Fig4_bd        PF11916.8    179 PF3D7_0525300        -            481   1.6e-06   14.0   0.3   1   1   3.7e-06   3.7e-06   12.9   0.3    31   104    46   115    15   126 0.83      0.01         1         1 Vacuolar protein 14 C-terminal Fig4p binding
FliG_C               PF01706.16   108 PF3D7_0606400        -            125   5.7e-07   16.0   0.9   1   1   9.8e-07   9.8e-07   15.3   0.5    20   101     6    86     2    90 0.89    0.0053         1         1 FliG C-terminal domain
Laminin_II           PF06009.12   138 PF3D7_0606400        -            125   1.2e-06   14.8   2.2   1   1   2.1e-06   2.1e-06   14.0   2.2     4    66    56   117    52   125 0.82    0.0057         1         1 Laminin Domain II
Pro-kuma_activ       PF09286.11   142 PF3D7_1243300        -             79   1.3e-05   11.7   0.1   1   1   1.5e-05   1.5e-05   11.5   0.1    42    76     5    39     2    58 0.81     0.041         1         1 Pro-kumamolisin, activation domain
FbpA                 PF05833.11   455 PF3D7_1202600        -           2180     4e-26   77.8   2.2   1   1     4e-26     4e-26   77.8   2.2     2   141     8   138     7   147 0.95   2.2e-22   2.1e-07   2.4e-09 Fibronectin-binding protein A N-terminus (FbpA)
Coilin_N             PF15862.5    139 PF3D7_1202600        -           2180   1.3e-09   24.2   0.0   1   1   1.3e-09   1.3e-09   24.2   0.0    36   136    99   307    79   326 0.69   7.1e-06     0.054    0.0016 Coilin N-terminus
NFACT-R_1            PF05670.13   109 PF3D7_1202600        -           2180   4.5e-39  119.8   0.1   1   1   7.8e-38   7.8e-38  115.8   0.0     1   109   700   811   700   811 0.97   4.2e-34   3.8e-09   2.7e-11 NFACT protein RNA binding domain
NFACT-C              PF11923.8    106 PF3D7_1202600        -           2180   6.3e-26   76.7   0.0   1   1   6.3e-26   6.3e-26   76.7   0.0     5    99  2073  2155  2070  2159 0.91   3.4e-22      0.26    0.0084 NFACT protein C-terminal domain
RWD                  PF05773.22   116 PF3D7_1355900        -            405   2.8e-12   33.2   6.1   1   1   2.8e-12   2.8e-12   33.2   6.1     1   114    70   177    70   181 0.79   7.6e-09         1         1 RWD domain
DUF1115              PF06544.12   146 PF3D7_1355900        -            405   4.5e-13   35.7   0.3   1   1   4.5e-13   4.5e-13   35.7   0.3     2    96   247   389   246   403 0.75   1.2e-09         1         1 Protein of unknown function (DUF1115)
NTP_transferase      PF00483.23   248 PF3D7_1420900        -            408   6.4e-50  156.1   0.0   1   1   8.8e-50   8.8e-50  155.7   0.0     2   244     3   228     2   232 0.92   4.8e-46    0.0011   3.7e-05 Nucleotidyl transferase
Hexapep              PF00132.24    36 PF3D7_1420900        -            408   4.5e-14   38.0  11.7   1   3   1.5e-11   1.5e-11   30.0   2.4     2    34   307   339   306   341 0.92   4.1e-08   0.00018   6.1e-06 Bacterial transferase hexapeptide (six repeats)
Hexapep              PF00132.24    36 PF3D7_1420900        -            408   4.5e-14   38.0  11.7   2   3   5.8e-07   5.8e-07   15.5   1.8     1    36   324   369   324   369 0.90   0.00045    0.0067   0.00021 Bacterial transferase hexapeptide (six repeats)
NFACT-C              PF11923.8    106 PF3D7_0916800        -             49     4e-05    9.8   0.0   1   1   4.7e-05   4.7e-05    9.6   0.0    34    63    17    46    15    49 0.89      0.13         1         1 NFACT protein C-terminal domain
DUF676               PF05057.14   219 PF3D7_1116100        -           1830   5.3e-31   93.9   9.3   1   1   7.1e-31   7.1e-31   93.5   2.2     4   214   741   918   738   923 0.87   3.9e-27   3.4e-06   4.8e-08 Putative serine esterase (DUF676)
Trypan_PARP          PF05887.11   134 PF3D7_0707200        -           2129   1.1e-05   11.6   5.4   1   1   3.6e-05   3.6e-05   10.0   5.4    44   102  1960  2018  1946  2025 0.76     0.098         1         1 Procyclic acidic repetitive protein (PARP)
Peptidase_S9         PF00326.21   212 PF3D7_0728700        -            720   1.2e-09   24.1   0.5   1   1   4.9e-09   4.9e-09   22.1   0.0    51   175   135   255   120   265 0.70   1.3e-05         1         1 Prolyl oligopeptidase family
Ribosomal_L15e       PF00827.17   191 PF3D7_0415900        -            205   1.2e-94  301.6   9.6   1   1   1.4e-94   1.4e-94  301.4   9.6     1   191     2   192     2   192 0.98   7.6e-91         1         1 Ribosomal L15
Imm17                PF15562.6     61 PF3D7_0315900        -            277   2.8e-05   10.3   0.3   1   1   5.4e-05   5.4e-05    9.4   0.3     7    27     7    27     3    37 0.81      0.29         1         1 Immunity protein 17
Rab_eff_C            PF04698.12   715 PF3D7_0315900        -            277   9.6e-06   10.1   1.0   1   1   1.3e-05   1.3e-05    9.7   1.0   470   509    45    84    23    91 0.83     0.071         1         1 Rab effector MyRIP/melanophilin C-terminus
RasGAP_C             PF03836.15   137 PF3D7_0315900        -            277     3e-06   13.6   1.2   1   1   1.3e-05   1.3e-05   11.6   0.2    29    90    98   159    79   230 0.87     0.071         1         1 RasGAP C-terminus
NGP1NT               PF08153.12   130 PF3D7_0315900        -            277   3.9e-05   10.1   0.3   1   1   7.9e-05   7.9e-05    9.1   0.3    48   109   191   253   151   265 0.90      0.21         1         1 NGP1NT (NUC091) domain
Clat_adaptor_s       PF01217.20   142 PF3D7_0415400        -            208   8.3e-16   44.4  11.0   1   1   2.6e-14   2.6e-14   39.6  11.0    20   139    55   179     8   182 0.76   2.8e-11   1.5e-06     2e-08 Clathrin adaptor complex small chain
Ank_2                PF12796.7     83 PF3D7_0415400        -            208     1e-05   12.4   0.0   1   1     2e-05     2e-05   11.4   0.0    48    76   178   207    98   208 0.77    0.0038         1         1 Ankyrin repeats (3 copies)
DEAD                 PF00270.29   176 PF3D7_1332700        -            490   1.9e-45  140.9   0.0   1   1   5.1e-45   5.1e-45  139.5   0.0     1   173    94   264    94   267 0.92   2.1e-42   1.3e-41   5.6e-44 DEAD/DEAH box helicase
Helicase_C           PF00271.31   111 PF3D7_1332700        -            490   1.6e-32   98.4   4.8   1   1   6.8e-31   6.8e-31   93.2   0.3     3   111   304   413   300   413 0.89   3.1e-28   1.1e-26   4.4e-29 Helicase conserved C-terminal domain
Wx5_PLAF3D7          PF09688.10   144 PF3D7_0936200        -            192   1.1e-52  164.1  17.1   1   1   1.4e-52   1.4e-52  163.8  17.1     1   144    47   185    47   185 0.99   3.3e-49   4.9e-49   1.1e-50 Protein of unknown function (Wx5_PLAF3D7)
RBFA                 PF02033.18   105 PF3D7_1003200        -            199   6.4e-17   48.3   0.1   1   1   1.1e-16   1.1e-16   47.5   0.1     3    91    68   165    67   178 0.88     3e-13         1         1 Ribosome-binding factor A
HlyIII               PF03006.20   224 PF3D7_1455400        -            282   1.4e-26   79.7  25.6   1   1   1.8e-26   1.8e-26   79.3  25.6     8   222    76   270    70   272 0.88   9.8e-23         1         1 Haemolysin-III related
Syja_N               PF02383.18   320 PF3D7_0705500        -           2814   2.8e-47  147.6  98.5   1   1   2.8e-47   2.8e-47  147.6  98.5     3   320    78  1138    76  1138 0.81   5.1e-44         1         1 SacI homology domain
Paramyxo_C           PF01692.18   204 PF3D7_0705500        -           2814   6.8e-06   11.7   0.1   1   1     3e-05     3e-05    9.6   0.1    39   181  1787  1929  1766  1944 0.82      0.16         1         1 Paramyxovirus non-structural protein C
Ribosomal_S8         PF00410.19   127 PF3D7_0316800        -            130   2.1e-25   75.4   0.1   1   1   5.3e-25   5.3e-25   74.1   0.1     3   126     7   129     5   130 0.80   2.9e-21   1.4e-16   1.7e-18 Ribosomal protein S8
DUF4379              PF14311.6     56 PF3D7_0911100        -           1165   1.1e-05   12.1   0.3   1   1   6.1e-05   6.1e-05    9.7   0.3     7    43   387   430   384   435 0.77      0.33         1         1 Probable Zinc-ribbon domain
GIIM                 PF08388.11    80 PF3D7_0911100        -           1165   5.3e-09   22.4   1.6   1   1   1.1e-07   1.1e-07   18.1   1.1     1    53   582   633   582   651 0.85    0.0006         1         1 Group II intron, maturase-specific domain
ETRAMP               PF09716.10    83 PF3D7_0701400        -            308   6.1e-06   12.6   0.2   1   1   6.1e-06   6.1e-06   12.6   0.2     8    62    38    91    30    93 0.91    0.0014    0.0082   0.00025 Malarial early transcribed membrane protein (ETRAMP)
Csm1_B               PF18211.1     94 PF3D7_0701400        -            308   8.6e-06   11.9   0.7   1   1   2.4e-05   2.4e-05   10.4   0.7    25    86   135   196   131   202 0.91     0.017     0.017   0.00053 Csm1 subunit domain B
Virul_fac_BrkB       PF03631.15   258 PF3D7_0701400        -            308   1.4e-07   17.5   1.6   1   1   2.3e-07   2.3e-07   16.7   1.6    88   184   199   292   156   298 0.72   0.00022   0.00022   9.6e-06 Virulence factor BrkB
Peptidase_C50        PF03568.17   395 PF3D7_1019200        -            319   1.7e-07   16.8   4.0   1   1   1.7e-07   1.7e-07   16.8   4.0    93   213     3   123     1   141 0.87   0.00031      0.43    0.0092 Peptidase family C50
LisH_TPL             PF17814.1     30 PF3D7_1311200        -            527   2.3e-15   42.3   0.0   1   1   4.4e-15   4.4e-15   41.4   0.0     3    28    13    38    11    40 0.95   2.4e-11         1         1 LisH-like dimerisation domain
WD40                 PF00400.32    38 PF3D7_1311200        -            527   1.1e-21   63.2   4.0   1   3   1.1e-07   1.1e-07   18.9   0.0     9    38   217   247   208   247 0.83   8.8e-06     6e-05   9.7e-07 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_1311200        -            527   1.1e-21   63.2   4.0   2   3   2.4e-06   2.4e-06   14.7   0.0    10    37   268   296   259   297 0.87   0.00013   0.00091   3.3e-05 WD domain, G-beta repeat
WD40                 PF00400.32    38 PF3D7_1311200        -            527   1.1e-21   63.2   4.0   3   3   4.8e-07   4.8e-07   16.9   0.0     3    37   303   338   301   338 0.89   3.1e-05    0.0003   1.2e-05 WD domain, G-beta repeat
Dor1                 PF04124.12   338 PF3D7_1252900        -            113   2.2e-07   15.9   1.7   1   1   2.3e-07   2.3e-07   15.8   1.7    24    92    30    99    14   113 0.80    0.0013         1         1 Dor1-like family
Prefoldin_2          PF01920.20   106 PF3D7_1416900        -            147   1.6e-27   81.8   5.0   1   1   2.4e-27   2.4e-27   81.3   5.0     6    99    21   114    17   117 0.96   6.5e-24   9.2e-11   9.7e-13 Prefoldin subunit
ARID                 PF01388.21    90 PF3D7_0603600        -           2368   2.1e-16   46.7   2.9   1   1   3.1e-16   3.1e-16   46.2   0.2     1    90     2    90     2    90 0.85   1.7e-12         1         1 ARID/BRIGHT DNA binding domain
DUF3889              PF13028.6     93 PF3D7_0603600        -           2368     6e-06   12.5   0.1   1   1   6.7e-05   6.7e-05    9.1   0.1    34    68   540   574   528   581 0.86      0.36         1         1 Protein of unknown function (DUF3889)
Ribosomal_L1         PF00687.21   204 PF3D7_1441200        -            217   3.2e-45  140.5   7.0   1   1   3.9e-45   3.9e-45  140.2   7.0     3   203    21   210    10   211 0.96   2.1e-41   8.2e-28   2.4e-30 Ribosomal protein L1p/L10e family
Myc_N                PF01056.18   338 PF3D7_1307400        -            387   4.4e-06   12.9   4.7   1   1   6.1e-06   6.1e-06   12.4   4.7   184   278    68   164     2   207 0.57     0.033      0.14    0.0047 Myc amino-terminal region
SGL                  PF08450.12   246 PF3D7_1307400        -            387   2.4e-06   13.4   1.0   1   1     7e-06     7e-06   11.9   0.3    44   159   177   295   130   306 0.74      0.03      0.03    0.0009 SMP-30/Gluconolactonase/LRE-like region
DnaJ                 PF00226.31    63 PF3D7_1108700        -            540     3e-26   77.7   4.4   1   1   8.1e-26   8.1e-26   76.3   4.4     1    63    35    94    35    94 0.99   2.8e-23   2.1e-22   1.4e-24 DnaJ domain
Thioredoxin          PF00085.20   103 PF3D7_1108700        -            540   1.8e-22   65.6   0.3   1   1   6.6e-22   6.6e-22   63.8   0.2     2   102   175   275   174   276 0.96   4.5e-19   1.7e-17   1.7e-19 Thioredoxin
HyaE                 PF07449.11   108 PF3D7_1108700        -            540   1.4e-09   24.2   0.0   2   2    0.0001    0.0001    8.6   0.0    43    96   310   363   283   374 0.76      0.54         1         1 Hydrogenase-1 expression protein HyaE
Thioredoxin_6        PF13848.6    184 PF3D7_1108700        -            540   4.3e-13   35.7  24.4   2   2   1.6e-06   1.6e-06   14.3   5.0    79   184   402   512   342   512 0.65    0.0012      0.17    0.0056 Thioredoxin-like domain
zf-CDGSH             PF09360.10    48 PF3D7_0302700        -            152   7.4e-13   34.9   1.7   1   1   1.4e-12   1.4e-12   34.0   0.8    22    48    32    57    21    57 0.79   2.5e-09         1         1 Iron-binding zinc finger CDGSH type
NLRC4_HD             PF17889.1    107 PF3D7_0302700        -            152   1.5e-06   14.8   0.1   1   1   1.5e-05   1.5e-05   11.6   0.0    37    99    66   128    60   135 0.82     0.082         1         1 NLRC4 helical domain
RAMP4                PF06624.12    60 PF3D7_0219400.2      -             67     7e-28   82.8   0.9   1   1     8e-28     8e-28   82.7   0.9     1    60     2    61     2    61 0.98   4.4e-24   1.2e-23   3.1e-26 Ribosome associated membrane protein RAMP4
DUF1461              PF07314.11   189 PF3D7_0406800        -            286   1.1e-05   11.5   2.2   1   1   1.9e-05   1.9e-05   10.8   2.2    22    75     9    60     1    71 0.78     0.052      0.16    0.0054 Protein of unknown function (DUF1461)
Ribosomal_L25p       PF01386.19    81 PF3D7_0406800        -            286   5.7e-06   13.1   0.0   1   1   1.9e-05   1.9e-05   11.5   0.0    16    79    71   146    50   148 0.76       0.1         1         1 Ribosomal L25p family
Ribosomal_TL5_C      PF14693.6     86 PF3D7_0406800        -            286   5.2e-09   22.7   0.0   1   1   9.5e-09   9.5e-09   21.9   0.0     3    63   158   221   156   245 0.86   5.2e-05         1         1 Ribosomal protein TL5, C-terminal domain
tRNA_Me_trans        PF03054.16   356 PF3D7_1019800        -           1084   1.1e-41  128.8  34.8   1   2   3.3e-40   3.3e-40  124.0  11.4     2   224   449   743   448   755 0.94   1.8e-36     0.006   0.00019 tRNA methyl transferase
tRNA_Me_trans        PF03054.16   356 PF3D7_1019800        -           1084   1.1e-41  128.8  34.8   2   2   1.1e-06   1.1e-06   13.7   1.0   293   345   964  1017   924  1022 0.73     0.003         1         1 tRNA methyl transferase
FKBP_C               PF00254.28    94 PF3D7_1313300        -            213   7.8e-14   38.1   0.0   1   1   1.2e-13   1.2e-13   37.5   0.0     5    91    97   179    94   202 0.82   3.3e-10     0.023   0.00071 FKBP-type peptidyl-prolyl cis-trans isomerase
DUF4083              PF13314.6     57 PF3D7_1313300        -            213   5.7e-06   12.5   0.8   1   1   1.8e-05   1.8e-05   11.0   0.8    28    51   183   206   181   208 0.94     0.071     0.071    0.0022 Domain of unknown function (DUF4083)
GIDA                 PF01134.22   392 PF3D7_1244000        -            972  4.1e-135  436.9  14.9   1   2   2.3e-64   2.3e-64  203.9   3.0     1   201    90   307    90   342 0.89   6.3e-61    0.0098    0.0003 Glucose inhibited division protein A
DUF3150              PF11348.8    256 PF3D7_1244000        -            972   1.7e-05   10.2   0.2   1   1   4.9e-05   4.9e-05    8.8   0.2    88   148   307   371   302   387 0.85      0.27         1         1 Protein of unknown function (DUF3150)
GIDA                 PF01134.22   392 PF3D7_1244000        -            972  4.1e-135  436.9  14.9   2   2   8.9e-76   8.9e-76  241.5   0.0   163   390   343   573   332   577 0.94   4.8e-72   1.3e-60   5.7e-63 Glucose inhibited division protein A
GIDA_assoc           PF13932.6    210 PF3D7_1244000        -            972   2.7e-57  180.5  22.4   1   2   3.3e-40   3.3e-40  124.6   5.0     1   169   600   773   600   791 0.65   1.8e-36   1.7e-17   1.7e-19 GidA associated domain
GIDA_assoc           PF13932.6    210 PF3D7_1244000        -            972   2.7e-57  180.5  22.4   2   2   3.1e-21   3.1e-21   62.6   4.2    62   209   770   958   761   959 0.79   8.4e-18         1         1 GidA associated domain
FPL                  PF09758.9    148 PF3D7_0619000.2      -           1797   1.3e-53  167.2  17.7   1   1   1.3e-53   1.3e-53  167.2  17.7     1   148    53   200    53   200 0.99   7.1e-50   3.4e-48   1.7e-50 Uncharacterised conserved protein
Glyoxalase_2         PF12681.7    118 PF3D7_0631000        -            285   2.7e-05   10.4   8.4   1   1   3.5e-06   3.5e-06   13.2   1.6    55    91    21    57     6    78 0.82    0.0095       0.2    0.0066 Glyoxalase-like domain
TFIIS_M              PF07500.14   112 PF3D7_0631000        -            285   2.6e-05   11.0   3.7   1   1   8.8e-05   8.8e-05    9.3   3.7    27    86    40    94    14    98 0.76      0.16         1         1 Transcription factor S-II (TFIIS), central domain
TPR_11               PF13414.6     42 PF3D7_0631000        -            285   7.6e-09   21.5  13.4   1   2   1.1e-06   1.1e-06   14.6   0.8    11    41   151   181   150   182 0.91   0.00086         1         1 TPR repeat
TPR_8                PF13181.6     34 PF3D7_0631000        -            285   3.9e-17   47.7  16.9   1   2   5.3e-08   5.3e-08   19.2   0.1     2    33   169   200   168   201 0.90   5.9e-05   0.00014   3.9e-06 Tetratricopeptide repeat
Fis1_TPR_C           PF14853.6     53 PF3D7_0631000        -            285   2.6e-08   20.2   2.3   1   1   7.3e-07   7.3e-07   15.6   0.0    12    44   212   244   205   250 0.80    0.0013     0.043    0.0012 Fis1 C-terminal tetratricopeptide repeat
TPR_8                PF13181.6     34 PF3D7_0631000        -            285   3.9e-17   47.7  16.9   2   2   1.3e-11   1.3e-11   30.5   0.0     2    34   236   268   235   268 0.94   3.5e-08   8.1e-06   1.1e-07 Tetratricopeptide repeat
TolA_bind_tri        PF16331.5     76 PF3D7_1142100        -           2738   1.2e-07   18.1   3.8   1   1   1.6e-05   1.6e-05   11.2   0.1    19    52   742   775   737   788 0.88     0.044         1         1 TolA binding protein trimerisation
Surp                 PF01805.20    53 PF3D7_0624200        -            341   5.9e-08   19.0   2.8   1   1   7.6e-08   7.6e-08   18.6   0.2     2    47    59   103    58   105 0.89    0.0001         1         1 Surp module
ATG27                PF09451.10   264 PF3D7_0624200        -            341   4.3e-05    9.6   4.2   1   1   7.9e-05   7.9e-05    8.7   4.2    86   159   183   255   132   275 0.66      0.43         1         1 Autophagy-related protein 27
TBCA                 PF02970.16    88 PF3D7_1352100        -           1049     1e-05   12.2   8.7   1   1   9.2e-05   9.2e-05    9.1   1.5     3    71   268   339   267   354 0.80      0.17         1         1 Tubulin binding cofactor A
ABC_membrane         PF00664.23   274 PF3D7_1352100        -           1049   1.2e-27   83.4  28.3   1   1   1.2e-27   1.2e-27   83.4  28.3     2   274   358   639   357   639 0.96   9.3e-25   4.1e-18   3.2e-20 ABC transporter transmembrane region
ABC_tran             PF00005.27   137 PF3D7_1352100        -           1049   1.5e-36  112.2   0.2   1   1   1.5e-36   1.5e-36  112.2   0.2     2   135   827   973   826   975 0.88   4.1e-33   1.3e-31   8.5e-34 ABC transporter
DnaJ                 PF00226.31    63 PF3D7_0919100        -            370   4.3e-24   70.8   3.0   1   1   8.9e-24   8.9e-24   69.8   3.0     1    63    53   114    53   114 0.97   2.3e-21   2.4e-20     2e-22 DnaJ domain
DNA_pack_N           PF02500.15   278 PF3D7_0919100        -            370     9e-07   15.0   2.0   1   1     1e-06     1e-06   14.8   0.4    12   147   214   364   204   370 0.71    0.0054         1         1 Probable DNA packing protein, N-terminus
Fe-S_biosyn          PF01521.20   111 PF3D7_0207200        -            160     4e-12   32.6   2.8   1   1   5.7e-12   5.7e-12   32.1   2.8     3   111    50   153    48   153 0.87   1.6e-08     6e-06   7.9e-08 Iron-sulphur cluster biosynthesis
RT_RNaseH            PF17917.1    105 PF3D7_1369100        -            521   1.7e-06   14.5   0.2   1   1     7e-06     7e-06   12.6   0.2    28    77    90   139    67   165 0.78     0.019         1         1 RNase H-like domain found in reverse transcriptase
Ribosom_S12_S23      PF00164.25   114 PF3D7_0306900        -            145   3.6e-55  170.7   0.4   1   1   4.7e-55   4.7e-55  170.4   0.4     2   114    32   144    31   144 0.98   2.6e-51     1e-32   2.4e-35 Ribosomal protein S12/S23
TFIIA_gamma_N        PF02268.16    48 PF3D7_0415800        -            875   5.1e-06   12.8   0.1   1   1   4.5e-05   4.5e-05    9.8   0.2    13    46    19    52    18    53 0.95      0.24         1         1 Transcription initiation factor IIA, gamma subunit, helical domain
